numero_de_cliente,clase_binaria,Label
6685522,NEG,0
6685723,NEG,0
6685739,NEG,0
6685748,NEG,0
6685836,NEG,0
6685852,NEG,0
6686112,NEG,0
6686235,NEG,0
6686549,NEG,0
6686625,NEG,0
6686665,NEG,0
6686728,NEG,0
6686769,NEG,0
6686778,NEG,0
6686841,NEG,0
6686848,NEG,0
6686863,NEG,0
6686879,NEG,0
6686895,NEG,0
6687002,NEG,0
6687372,NEG,0
6687470,NEG,0
6687501,NEG,0
6687573,NEG,0
6687708,NEG,0
6687878,NEG,0
6688104,NEG,0
6688151,NEG,0
6688195,NEG,0
6688242,NEG,0
6688318,NEG,0
6688334,NEG,0
6688444,NEG,0
6688538,NEG,0
6688566,NEG,0
6688676,NEG,0
6688795,NEG,0
6689044,NEG,0
6689267,NEG,0
6689380,NEG,0
6689609,NEG,0
6689612,NEG,0
6689615,NEG,0
6689647,NEG,0
6689656,NEG,0
6689973,NEG,0
6690291,NEG,0
6690335,NEG,0
6690504,NEG,0
6690539,NEG,0
6690596,NEG,0
6690621,NEG,0
6690859,NEG,0
6690916,NEG,0
6690988,NEG,0
6691328,NEG,0
6691372,NEG,0
6691431,NEG,0
6691450,NEG,0
6691503,NEG,0
6691598,NEG,0
6691676,NEG,0
6691739,NEG,0
6691745,NEG,0
6691770,NEG,0
6691802,NEG,0
6691805,NEG,0
6692069,NEG,0
6692107,NEG,0
6692320,NEG,0
6692474,NEG,0
6692540,NEG,0
6692619,NEG,0
6692685,NEG,0
6692917,NEG,0
6692939,NEG,0
6692977,NEG,0
6693021,NEG,0
6693033,NEG,0
6693090,NEG,0
6693319,NEG,0
4566235,NEG,0
4566430,NEG,0
4566615,NEG,0
4566844,NEG,0
4566854,NEG,0
4566926,NEG,0
4566939,NEG,0
4566992,NEG,0
4567017,NEG,0
4567055,NEG,0
4567225,NEG,0
4567278,NEG,0
4567407,NEG,0
4567501,NEG,0
4567658,NEG,0
4567674,NEG,0
4567821,NEG,0
4567978,NEG,0
4567997,NEG,0
4568107,NEG,0
4568120,NEG,0
4568239,NEG,0
4568333,NEG,0
4568437,NEG,0
4568717,NEG,0
4568820,NEG,0
4568827,NEG,0
4568864,NEG,0
4569034,NEG,0
4569069,NEG,0
4569138,NEG,0
4569248,NEG,0
4569537,NEG,0
4569559,NEG,0
4569596,NEG,0
4569609,NEG,0
4569719,NEG,0
4569882,NEG,0
4569926,NEG,0
4569955,NEG,0
4569992,NEG,0
4570174,NEG,0
4570190,NEG,0
4570316,NEG,0
4570322,NEG,0
4570426,NEG,0
4570699,NEG,0
4570866,NEG,0
4571164,NEG,0
4571419,NEG,0
4571431,NEG,0
4571610,NEG,0
4571843,NEG,0
4571912,NEG,0
4571971,NEG,0
4571978,NEG,0
4572103,NEG,0
4572267,NEG,0
4572311,NEG,0
4572333,NEG,0
4572722,NEG,0
4572769,NEG,0
4572829,NEG,0
4572832,NEG,0
4572861,NEG,0
4572936,NEG,0
4572945,NEG,0
4573052,NEG,0
4573065,NEG,0
4573278,NEG,0
4573357,NEG,0
4573470,NEG,0
4573514,NEG,0
4573593,NEG,0
4573630,NEG,0
4573665,NEG,0
4574083,NEG,0
4574123,NEG,0
4574158,NEG,0
4574202,NEG,0
4574211,NEG,0
4574233,NEG,0
4574387,NEG,0
4574390,NEG,0
4574532,NEG,0
4574557,NEG,0
4574661,NEG,0
4574720,NEG,0
4574733,NEG,0
4575019,NEG,0
4575028,NEG,0
4575041,NEG,0
4575066,NEG,0
4575160,NEG,0
4575176,NEG,0
4575210,NEG,0
4575232,NEG,0
4575377,NEG,0
4575550,NEG,0
4575562,NEG,0
4575591,NEG,0
4575613,NEG,0
4575814,NEG,0
4575820,NEG,0
4575880,NEG,0
4576081,NEG,0
4576263,NEG,0
4576354,NEG,0
4576382,NEG,0
4576389,NEG,0
4576498,NEG,0
4576502,NEG,0
4576508,NEG,0
4576621,NEG,0
4576649,NEG,0
4576696,NEG,0
4576715,NEG,0
4576747,NEG,0
4576894,NEG,0
4576948,NEG,0
4577001,NEG,0
4577033,NEG,0
4577193,NEG,0
4577356,NEG,0
4577466,NEG,0
4577623,NEG,0
4577774,NEG,0
4577903,NEG,0
4577906,NEG,0
4578129,NEG,0
4578390,NEG,0
4578421,NEG,0
4578449,NEG,0
4578541,NEG,0
4578638,NEG,0
4578650,NEG,0
4578694,NEG,0
4578713,NEG,0
4578735,NEG,0
4578826,NEG,0
4578899,NEG,0
4579433,NEG,0
4579461,NEG,0
4579615,NEG,0
4579703,NEG,0
4579715,NEG,0
4579819,NEG,0
4579920,NEG,0
4580111,NEG,0
4580136,NEG,0
4580171,NEG,0
4580325,NEG,0
